PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TNPRFT,490,37,0.02702702702702703,0.0,0.02702702702702703,0.9459459459459459
TPSYCH,101,2159,0.09263547938860583,0.07688744789254284,0.23112552107457157,0.5993515516442798
TPSYCH,202,273,0.029304029304029304,0.040293040293040296,0.16117216117216118,0.7692307692307693
TPSYCH,209,1240,0.04435483870967742,0.03306451612903226,0.17903225806451614,0.7435483870967742
TPSYCH,210,921,0.04668838219326819,0.04560260586319218,0.1281216069489685,0.7795874049945711
TPSYCH,220,829,0.04221954161640531,0.047044632086851626,0.1773220747889023,0.7334137515078407
TPSYCH,240,642,0.07009345794392523,0.1059190031152648,0.23052959501557632,0.5934579439252337
TPSYCH,250,569,0.061511423550087874,0.10896309314586995,0.21616871704745166,0.6133567662565905
TPSYCH,260,626,0.054313099041533544,0.05910543130990415,0.21725239616613418,0.6693290734824281
TPSYCH,300,137,0.021897810218978103,0.058394160583941604,0.17518248175182483,0.7445255474452555
TPSYCH,306,170,0.01764705882352941,0.0058823529411764705,0.06470588235294118,0.9117647058823529
TPSYCH,308,18,0.1111111111111111,0.0,0.0,0.8888888888888888
TPSYCH,309,1247,0.03608660785886127,0.028869286287089013,0.18444266238973536,0.7506014434643143
TPSYCH,310,235,0.029787234042553193,0.03404255319148936,0.12340425531914893,0.8127659574468085
TPSYCH,311,623,0.056179775280898875,0.09630818619582665,0.2520064205457464,0.5955056179775281
TPSYCH,312,350,0.02857142857142857,0.037142857142857144,0.06571428571428571,0.8685714285714285
TPSYCH,313,135,0.022222222222222223,0.022222222222222223,0.2,0.7555555555555555
TPSYCH,314,76,0.013157894736842105,0.013157894736842105,0.07894736842105263,0.8947368421052632
TPSYCH,319,290,0.02413793103448276,0.05517241379310345,0.16896551724137931,0.7517241379310344
TPSYCH,320,221,0.04072398190045249,0.02262443438914027,0.07239819004524888,0.8642533936651584
TPSYCH,321,272,0.01838235294117647,0.014705882352941176,0.07352941176470588,0.8933823529411765
TPSYCH,322,701,0.06134094151212553,0.06134094151212553,0.24964336661911554,0.6276747503566333
